src,dst,transport,action,service,count
10.0.68.10,10.27.221.240,TCP,allowed,2443,15
10.0.68.25,10.27.221.240,TCP,allowed,2443,8
10.0.68.100,10.27.221.240,TCP,allowed,2443,22
10.0.68.150,10.27.221.240,TCP,allowed,2443,4
10.0.68.200,10.27.221.240,TCP,allowed,2443,11
10.0.68.5,10.27.221.240,TCP,allowed,2443,3
10.0.68.30,10.27.221.240,TCP,allowed,2443,7
10.0.68.55,10.27.221.240,TCP,allowed,2443,19
10.0.68.80,10.27.221.240,TCP,allowed,2443,2
10.0.68.120,10.27.221.240,TCP,allowed,2443,5
10.0.68.175,10.27.221.240,TCP,allowed,2443,13
10.0.68.210,10.27.221.240,TCP,allowed,2443,6
10.0.68.230,10.27.221.240,TCP,allowed,2443,9
10.0.68.245,10.27.221.240,TCP,allowed,2443,17
10.0.68.50,10.27.221.240,TCP,allowed,2443,1
192.168.10.5,10.27.221.100,TCP,allowed,443,25
192.168.10.8,10.27.221.100,TCP,allowed,443,12
192.168.20.1,10.27.221.100,TCP,allowed,443,33
172.16.5.10,10.27.221.100,UDP,allowed,53,6
172.16.5.11,10.27.221.100,UDP,allowed,53,1
172.16.5.20,10.27.221.100,UDP,allowed,53,4
10.1.1.5,10.50.0.20,TCP,allowed,8080,10
10.1.1.6,10.50.0.20,TCP,allowed,8080,3
10.1.1.7,10.50.0.20,TCP,allowed,8080,1
10.0.68.15,10.27.221.240,TCP,allowed,2443,2
10.0.68.40,10.27.221.240,TCP,allowed,2443,8
