CIDR,NAME
10.14.216.0/24,TNF-Hillside-VLAN-2
10.14.217.0/24,TNA-GRVH-VL-56-Phys-SVS
10.14.219.0/24,TNA-HVIL-VL-500-LWAP
10.14.221.0/24,NCZ---Maria-Parham---VLAN-15-Server
10.14.222.0/24,SVG-NFD-50917-Kissimmee-SC-MGMT-VL2
10.16.72.0/24,Vaughan-Remote-MRI-Clinic
10.16.1.0/24,SCB-Meditech-Segment
10.16.7.0/24,TNJ-Southern-Monteagle-Vlan-1
10.14.254.0/24,ALF-Vaughn-VLAN68-Fetal-monitoring
10.14.250.0/23,TNE---Hillside-Hospital---Vlan21
10.14.252.0/24,TNF-Hillside-VLAN-2-0
10.16.3.0/24,ALE-Andalusia-Security-VLAN-40
10.14.249.128/25,TNF-Hillside-Hospital-WLAN-APs---Vlan-501
10.16.86.0/23,TNE-Crockett-VLAN4-LPNT
10.14.255.0/24,KYC---Clark-Baxter-RF-Pumps
10.17.98.0/24,Mariah-Parham---Beckford-Lab-Outreach
10.17.99.0/24,Mariah-Parham---Warrenton-Outreach
10.16.113.0/24,TXP-Parkview-Clinic-Hubbard
10.16.76.64/26,TNZ---Trousdale-Rehab---VLAN1
10.16.133.0/24,VAB-Clinch-Valley-Remote
10.17.227.0/24,VAZ---Twin-County---VLAN-611---Nurse-Call-Rauland
10.16.94.128/25,SVG-NFD-50917-Kissimmee-SC-VoIP-VL701
10.16.0.128/28,SVG-NFD-50917-Kissimmee-SC-WLAPP--VL501
10.16.0.160/27,SVG-NFD-50917-Kissimmee-SC-WPA-VL22
10.17.253.0/24,NCZ-Maria-Parham---LWAPP-APs-VLAN503
10.17.230.0/24,NCZ-Maria-Parham-Printers---VL10
10.14.170.0/24,TNZ-Riverview-South-vlan3
10.16.173.0/26,VAB-ClinchValley-Materials-Mgmt-VOIP-TLAN-39
10.16.173.128/26,VAB-ClinchValley-Campus-Family-Med-VOIP-TLAN-39
10.16.173.64/26,VAB-ClinchValley-Cancer-Center-VOIP-TLAN-39
10.16.174.0/25,VAB-ClinchValley-Physicians-Associates-VOIP-ELAN-38
10.16.174.128/25,VAB-ClinchValley-Physicians-Associates-VOIP-TLAN-39
10.17.36.0/23,ALF---Vaughn-Reg-Med-Cent-(LP)---VLAN22
10.14.176.0/23,TNF-Hillside---Vlan-22---WLAN-WPA-Users
10.16.179.0/24,VAZ-Twin-County---Server-VLAN-15-secondary
10.16.5.0/24,KYZ-Clark-Expanded-EC-IP-space
